stt,word,pronunciation,meaning,word_type,example,topic,source_url
as (because/since/now that) / ,Bởi vì,conj,"As it was raining, we stayed home. (Vì trời mưa nên chúng tôi ở nhà)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
because of / ,Bởi vì (danh từ/cụm N/Ving),prep,"Because of the storm, the flight was delayed. (Vì cơn bão, chuyến bay bị hoãn)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
although / though / even though / ,Mặc dù,conj,"Although he was tired, he kept working. (Mặc dù anh ấy mệt, anh ấy vẫn tiếp tục làm việc)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
despite / in spite of / ,Mặc dù (N/ Ving),prep,"Despite the rain, they continued playing. (Mặc dù trời mưa, họ vẫn tiếp tục chơi)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
so that / in order that / ,Để làm gì,conj,He left early so that he could catch the bus. (Anh ấy rời đi sớm để kịp xe buýt),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
in order to / so as to / ,Để làm gì (V),prep,She studies hard in order to pass the exam. (Cô ấy học chăm để đỗ kỳ thi),,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
while / whereas / meanwhile / ,Trong khi,conj,"While I cooked, he cleaned the house. (Trong khi tôi nấu ăn thì anh ấy dọn nhà)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
however / even so / nevertheless / nonetheless / ,Tuy nhiên,adv,"I was tired; however, I finished the work. (Tôi mệt nhưng vẫn hoàn thành công việc)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
therefore / hence / so / thus / ,Do đó,bời vậy,adv,,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
in addition / besides / ,Ngoài ra,adv,"She speaks English; in addition, she speaks French. (Cô ấy nói tiếng Anh, ngoài ra còn nói tiếng Pháp)",,Sửa từXóa từ,TOEIC: Các giới từ/ liên từ chắc chắn sẽ gặp,https://luyentu.com/words
